rebalance_id,date,ticker,peso
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR4.SA,29.33
20260823,2026-08-23,WEGE3.SA,24.67
20260823,2026-08-23,VALE3.SA,20.0
20260823,2026-08-23,ITUB4.SA,15.33
20260823,2026-08-23,BBAS3.SA,10.67
20260823,2026-08-23,PETR3.SA,20.32
20260823,2026-08-23,PETR4.SA,19.71
20260823,2026-08-23,WEGE3.SA,17.27
20260823,2026-08-23,VALE3.SA,15.33
20260823,2026-08-23,TAEE11.SA,15.21
20260823,2026-08-23,ITUB4.SA,12.17
20260823,2026-08-23,PETR3.SA,20.32
20260823,2026-08-23,PETR4.SA,19.71
20260823,2026-08-23,WEGE3.SA,17.27
20260823,2026-08-23,VALE3.SA,15.33
20260823,2026-08-23,TAEE11.SA,15.21
20260823,2026-08-23,ITUB4.SA,12.17
