Price,Close,High,Low,Open,Volume
Ticker,TAEE11.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA
Date,,,,,
2015-01-02,5.845369815826416,5.907389298585666,5.650006996039988,5.89188457576267,344100
2015-01-05,5.823660850524902,5.907387151390731,5.6189955080225715,5.727529711268469,485100
2015-01-06,5.832966327667236,5.93529904950465,5.770946836792424,5.860875305574471,634700
2015-01-07,5.842265605926514,5.938396136874625,5.817457707892584,5.876376687523272,349000
2015-01-08,5.8980865478515625,6.009721850497356,5.823662815598617,5.829864349685927,557700
2015-01-09,5.857771396636963,5.88257929922881,5.739934007192448,5.860872458394326,596400
2015-01-12,5.7926506996154785,5.863973343484887,5.640702226884854,5.736832772598711,646500
2015-01-13,5.8918843269348145,5.947702273087902,5.814359533159356,5.814359533159356,722600
2015-01-14,5.975610256195068,6.136861942485861,5.823661756544293,5.8329643517171705,1002400
2015-01-15,6.068639278411865,6.112052963042576,5.966306599305839,5.988013441621194,693800
2015-01-16,6.155467987060547,6.3105175555433455,5.94770154163491,6.077943202819147,815400
2015-01-19,6.077941417694092,6.220586694898319,6.077941417694092,6.208183040625643,284800
2015-01-20,6.127557754516602,6.170971435474662,6.025225084067572,6.130658816223184,545200
2015-01-21,6.108952522277832,6.183376235492941,6.050033527515711,6.130659364698852,1562100
2015-01-22,6.099648952484131,6.208183749226394,6.034527837851949,6.130658978905786,1225300
2015-01-23,6.062438488006592,6.14306434253224,6.003520072038299,6.074842738610794,303900
2015-01-26,5.984914302825928,6.121358115967423,5.885682653802035,6.0035206806183705,490900
2015-01-27,6.015922546386719,6.0221246704673606,5.885680898028773,6.00041782765222,319700
2015-01-28,5.984914302825928,6.105853392607671,5.944601667210202,5.997318554687556,425700
2015-01-29,6.046935081481934,6.105854101732873,5.9725113360705455,6.022127166344804,291600
2015-01-30,6.03142786026001,6.167871041314551,5.991114645178404,6.046932579003946,644100
2015-02-02,6.139962196350098,6.288810219996912,6.031427980052685,6.105851696142533,782900
2015-02-03,6.177175045013428,6.316719898046569,6.155468199312091,6.211286140525347,543100
2015-02-04,6.1864776611328125,6.270203973754505,6.130659725073596,6.205083442663507,367600
2015-02-05,6.11825704574585,6.304316683178627,6.11515598278412,6.1988829083489625,315600
2015-02-06,6.065539360046387,6.208185280175913,6.050034638745596,6.112054115415961,447100
2015-02-09,6.046935081481934,6.155469932007131,5.978713462721666,6.046935081481934,648800
2015-02-10,6.167870044708252,6.17097110624939,6.012820516453408,6.084143748965564,598400
2015-02-11,6.124457836151123,6.229891587989577,6.105852053905264,6.108953116190766,387800
2015-02-12,6.254698276519775,6.3043140804893625,6.146163483536165,6.158567730262082,788300
2015-02-13,6.205082893371582,6.310516631824105,6.1895775839126355,6.304314508040526,1102300
2015-02-18,6.282606601715088,6.4686661434262245,6.257798702251402,6.270202356249756,304700
2015-02-19,6.419052600860596,6.571001112420481,6.350830409754436,6.350830409754436,592500
2015-02-20,6.406647205352783,6.468667260455299,6.353930335955768,6.422151923394871,248800
2015-02-23,6.372536659240723,6.508980437219604,6.3725366592407235,6.381839845739441,444600
2015-02-24,6.450060844421387,6.5399898645511785,6.3880413812150145,6.468667215703666,655700
2015-02-25,6.574100494384766,6.577200964581415,6.388040934832926,6.412848836675368,511600
2015-02-26,6.6268181800842285,6.660928679673317,6.5182833742875985,6.56479812206698,503900
2015-02-27,6.462464332580566,6.611311736546256,6.366333791452768,6.583402774369313,712300
2015-03-02,6.49657678604126,6.52138469192703,6.406647757538384,6.459364631479038,573900
2015-03-03,6.465565204620361,6.561695742931012,6.465565204620361,6.496575227404536,627800
2015-03-04,6.422152996063232,6.490375186364314,6.332224551757958,6.456264091213773,283700
2015-03-05,6.403546333312988,6.521384323208191,6.363233710328059,6.450061080285474,265700
2015-03-06,6.2484965324401855,6.434556104353459,6.1740728219682905,6.372536049893343,640700
2015-03-09,6.217485427856445,6.217485427856445,6.10274911589371,6.1740717521372455,428800
2015-03-10,6.1709723472595215,6.267102908499047,6.090346505376744,6.115154411227819,478300
2015-03-11,6.1709723472595215,6.226790283291224,6.130659722051698,6.174073409424297,332000
2015-03-12,6.378739356994629,6.422153048290425,6.205084000344262,6.205084000344262,552800
2015-03-13,6.279505252838135,6.313616334839025,6.1771725983024135,6.313616334839025,303600
2015-03-16,6.310516357421875,6.357031100841942,6.201981561797016,6.217486279114688,356200
2015-03-17,6.409748554229736,6.415950678311084,6.2174868479777246,6.245395814876679,653100
2015-03-18,6.527586936950684,6.580303816642692,6.279507851027821,6.279507851027821,1216800
2015-03-19,6.543091297149658,6.592707107112716,6.462465458092912,6.518283392168129,1234200
2015-03-20,6.698141574859619,6.915210619034701,6.567899911767701,6.574102036549977,2582600
2015-03-23,6.654726982116699,6.8035750126051715,6.642323324598495,6.673333355594725,277100
2015-03-24,6.800473213195801,6.871795862728838,6.6609283845728315,6.7229484398423915,1545600
2015-03-25,6.614413738250732,6.791170129517938,6.614413738250732,6.7043427605962735,377900
2015-03-26,6.66713285446167,6.670233917463076,6.4717706171114235,6.5927091168298,468800
2015-03-27,6.605111598968506,6.716747481233307,6.56169790762872,6.648525881775475,202100
2015-03-30,6.636122226715088,6.72915233409555,6.623718567278035,6.6950412355759905,914800
2015-03-31,6.527586936950684,6.6547275424195504,6.481072182273547,6.633020696334699,1153400
2015-04-01,6.527586936950684,6.592708066672433,6.45626427368126,6.574102283095017,1664400
