Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2015-01-02,8.42859172821045,8.672754503707214,8.351356644305472,8.533232778107067,23517344
2015-01-05,8.470941543579102,8.558142198285378,8.231761739424366,8.296539256953217,26662189
2015-01-06,8.607973098754883,8.607973098754883,8.378758867848541,8.47094333000228,31413078
2015-01-07,8.91940689086914,9.053945782688354,8.720091425631031,8.720091425631031,26740949
2015-01-08,9.058926582336426,9.093807245176109,8.774901399027517,8.969234984941496,24249626
2015-01-09,8.662787437438965,9.006608391683937,8.637872394011508,8.98169334825648,19333403
2015-01-12,8.453502655029297,8.702648123147535,8.44104513732001,8.620430265250542,23066377
2015-01-13,8.44353199005127,8.667763292025695,8.44353199005127,8.523258892356184,28972137
2015-01-14,8.500836372375488,8.627900460211045,8.346366343132775,8.371281368346425,25515543
2015-01-15,8.426095008850098,8.75994918497829,8.423603114923681,8.520770365427735,27801637
2015-01-16,8.555654525756836,8.600500822239447,8.371287503788118,8.448522575016211,29126984
2015-01-19,8.246710777282715,8.602989104276212,8.209339204980948,8.498348115503218,17386819
2015-01-20,8.274117469787598,8.413639126410105,8.211831836099588,8.383741279557606,18983816
2015-01-21,8.518278121948242,8.578072824382165,8.264149903694117,8.396196823256235,29473281
2015-01-22,8.560636520385742,8.720089442644232,8.513298338600707,8.617939349370767,28294761
2015-01-23,8.478418350219727,8.720090136144393,8.39869237135676,8.617940034747031,23406093
2015-01-26,8.578080177307129,8.595520517385896,8.37378086549634,8.438559411105201,20255902
2015-01-27,8.545687675476074,8.61295711056674,8.36131970269577,8.545687675476074,26231374
2015-01-28,8.3712797164917,8.625406864804317,8.368787823576804,8.446022822957838,23732443
2015-01-29,8.313977241516113,8.480904776326136,8.174455646957506,8.446024133383219,24349156
2015-01-30,8.196879386901855,8.241725651957108,8.089747511237091,8.152033121846603,38279998
2015-02-02,8.30531120300293,8.320267436084615,8.138307917808968,8.280385777299072,24041519
2015-02-03,8.537123680114746,8.64181244323819,8.494749959554643,8.596946668464907,37346806
2015-02-04,8.851186752319336,8.903530620244053,8.474805598763226,8.529642497379168,51065223
2015-02-05,8.776412010192871,8.918489396614833,8.724068121578245,8.811308587708941,39529875
2015-02-06,8.756465911865234,8.80133165361954,8.624358783663789,8.72406238732437,35371227
2015-02-09,8.811300277709961,8.838718711997076,8.676700157941273,8.676700157941273,25662164
2015-02-10,8.699145317077637,8.886089529802076,8.699145317077637,8.823774466340634,25279469
2015-02-11,8.55208683013916,8.812634281960237,8.45757483350524,8.769210040622557,25409022
2015-02-12,8.776872634887695,8.820296871675122,8.608282358747754,8.644044084277043,23944457
2015-02-13,9.06806468963623,9.073173360261375,8.799854973281535,8.833061833293264,25714602
2015-02-18,9.121708869934082,9.285190384800059,9.070622148909543,9.24942867818602,23875979
2015-02-19,9.119154930114746,9.213666865770145,9.029751666503138,9.085948060881684,16111032
2015-02-20,9.167688369750977,9.200896242888614,9.009317523024787,9.195787570535957,12624825
2015-02-23,9.25709056854248,9.32094945960487,9.027195354648478,9.027195354648478,19466246
2015-02-24,9.354155540466309,9.35415554046631,9.144696030837325,9.318394844995627,21014506
2015-02-25,9.377144813537598,9.377144813537598,9.183012323250821,9.234100031620306,17344046
2015-02-26,9.423133850097656,9.423133850097656,9.241773344936714,9.387373117621095,15596522
2015-02-27,9.323506355285645,9.596825835769073,9.264756122457191,9.425681805827287,38676677
2015-03-02,9.281339645385742,9.386112969057207,9.202121182047264,9.301782731805243,24007794
2015-03-03,9.352895736694336,9.352895736694336,9.197013639928281,9.273676243229712,16892256
2015-03-04,9.271123886108398,9.31201008445488,9.18168382376162,9.23279157169472,33867180
2015-03-05,9.189345359802246,9.327339224205415,9.102460222699273,9.255786404599867,43472807
2015-03-06,8.94402027130127,9.240449955247243,8.857135173048857,9.128011005925494,37001949
2015-03-09,8.711477279663086,8.872469076064517,8.550484480953134,8.73958702203848,41212212
2015-03-10,8.369048118591309,8.701254236946145,8.369048118591309,8.57348296136612,62420430
2015-03-11,8.652705192565918,8.665482626397994,8.432937941275146,8.44060460203617,52994327
2015-03-12,8.688486099243164,8.788147729127658,8.634821450783456,8.73959485869123,32578643
2015-03-13,8.645033836364746,8.662922033552126,8.466153869107657,8.489152836590238,39470856
2015-03-16,8.645033836364746,8.757473789784227,8.5402615418506,8.70125331192031,22660650
2015-03-17,8.89292049407959,8.89292049407959,8.627156136981682,8.685930561220852,36760528
2015-03-18,9.161236763000488,9.199569065032001,8.777921761156664,8.85202947518511,35552807
2015-03-19,9.10501766204834,9.156126398059994,8.964468888593533,9.135683304578915,21622993
2015-03-20,9.181674003601074,9.317111896540741,9.161229923984344,9.199562197400153,34604192
2015-03-23,9.122904777526855,9.225122237309575,8.984910906127531,9.17145761988467,20674995
2015-03-24,9.06668472290039,9.222566790617964,8.967023156718579,9.122904222127378,23885644
