Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2015-01-02,9.015585899353027,9.289288877753695,8.813765042553044,9.289288877753695,1004850
2015-01-05,9.026646614074707,9.090233628008605,8.755708314579449,8.92435426061407,1048250
2015-01-06,9.209112167358398,9.311405419053775,8.935410123397245,9.04323191700428,1316875
2015-01-07,9.44134521484375,9.56852014932964,9.211878862727506,9.239524343831091,1106875
2015-01-08,9.53810977935791,9.53810977935791,9.408171024564396,9.44411162938048,966700
2015-01-09,8.805474281311035,9.488346787565407,8.683827863205668,9.488346787565407,1598975
2015-01-12,8.556648254394531,8.92987777433044,8.365885474418883,8.819291284083043,1457050
2015-01-13,8.628533363342285,8.70870876683983,8.504123159003889,8.606415501517866,1690850
2015-01-14,9.095762252807617,9.095762252807617,8.515182213603216,8.515182213603216,1328950
2015-01-15,9.081939697265625,9.336289606132235,9.06258748833453,9.09576336279363,2556050
2015-01-16,9.283761024475098,9.477287717439866,8.990705790666697,9.004528532644711,1124900
2015-01-19,8.697651863098145,9.308644096282496,8.6672407188096,9.156587452031566,956200
2015-01-20,8.860766410827637,8.871825343031828,8.719768716456572,8.76400259965715,1168300
2015-01-21,8.94094181060791,9.021117223354782,8.769532052926156,8.974117684363842,1461250
2015-01-22,8.849709510803223,9.30588041808869,8.711476517740438,9.01282510703929,2506700
2015-01-23,8.777827262878418,9.305879339158468,8.650652296495762,9.012824062086104,1343825
2015-01-26,8.570477485656738,8.708711395358026,8.495831525085183,8.689358260420375,1100400
2015-01-27,8.639593124389648,8.703181067228638,8.401831598384085,8.473712818281921,1244600
2015-01-28,8.929883003234863,8.929883003234863,8.526241200811706,8.553888531668159,1262450
2015-01-29,9.03217601776123,9.090233565246447,8.681063231420868,8.846942597670115,1582700
2015-01-30,8.609179496765137,8.985174810299814,8.584297827152069,8.88011682124929,1818950
2015-02-02,8.722532272338867,8.838649211480563,8.609180988975663,8.609180988975663,1180025
2015-02-03,8.730829238891602,8.957531877481932,8.689359153997433,8.841415824339931,947975
2015-02-04,8.576006889343262,8.730828276466168,8.548360476730815,8.708711330937865,1166200
2015-02-05,8.484769821166992,8.661709020177375,8.44053594422236,8.542828284219762,1067675
2015-02-06,8.371420860290527,8.388009260827648,8.269128492069608,8.38247979398194,1194025
