Price,Close,High,Low,Open,Volume
Ticker,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA
Date,,,,,
2015-01-02,9.641022682189941,9.96600036867234,9.490569773221425,9.713239435690651,19396500
2015-01-05,9.466496467590332,9.610931691975859,9.352152512797918,9.574822742396407,13795900
2015-01-06,9.827583312988281,9.881746448436626,9.36418868269116,9.466496125954157,18610500
2015-01-07,9.965999603271484,10.062289365786995,9.713238689702141,9.833601466778786,20493500
2015-01-08,10.566515922546387,10.655953993766701,10.387638561603426,10.496242456014807,9054500
2015-01-09,10.540960311889648,10.636786980115478,10.413190608587076,10.521794490843604,11695700
2015-01-12,10.675119400024414,10.745392871832658,10.483466027732286,10.57290410566829,11265500
2015-01-13,10.675119400024414,10.853996774398844,10.643177577476534,10.668732010316777,19614100
2015-01-14,10.707058906555176,10.732612112457597,10.560124621735694,10.560124621735694,9324100
2015-01-15,10.726226806640625,10.853995297954512,10.611234311506546,10.662341951732554,12612300
2015-01-16,10.802888870239258,10.860385124259647,10.662343148468524,10.694284970256565,9191600
2015-01-19,10.60484504699707,10.796498381342522,10.566514623828416,10.739002137338451,6363500
2015-01-20,10.79649829864502,10.828441333126044,10.662341209331236,10.719837452894907,7114500
2015-01-21,10.917879104614258,10.988152560116262,10.75816759192944,10.828441047431445,9327600
2015-01-22,11.039260864257812,11.115921712629884,10.847606306323202,10.988153225842359,13341900
2015-01-23,10.879549026489258,10.994540295713671,10.85399459877127,10.892325021846073,7567000
2015-01-26,10.853992462158203,10.937043117390932,10.738999997067927,10.78371901826927,7286700
2015-01-27,10.834827423095703,10.879547666009952,10.713447562120255,10.777332404924296,10007400
2015-01-28,10.879549026489258,10.975375693427358,10.719837508758365,10.751779324903671,9768700
2015-01-29,11.282022476196289,11.320352902536635,10.828442312079067,10.91149177223353,17203000
2015-01-30,11.301187515258789,11.41618000481123,11.058425322092033,11.141475994991996,19490600
2015-02-02,11.173419952392578,11.262858030956979,11.039262834545974,11.19258577715742,9556100
2015-02-03,11.211750030517578,11.320353930428395,11.103146130606762,11.230915854679155,10228200
2015-02-04,11.077591896057129,11.307576890792605,11.000929824977876,11.192584393424866,12135600
2015-02-05,11.333127975463867,11.333127975463867,10.96259734153333,11.077589817322472,10794300
2015-02-06,11.441734313964844,11.448122921609714,11.083980815368317,11.237303743338257,10346700
2015-02-09,11.607833862304688,11.626999684257019,11.339518447483302,11.422567905605568,10351800
2015-02-10,11.524781227111816,11.582276240114485,11.390622947433807,11.537557219722455,10680600
2015-02-11,11.524781227111816,11.543945825278733,11.294796301093468,11.480060988217867,12420900
2015-02-12,11.556724548339844,11.620609393758665,11.473673883744752,11.556724548339844,10312000
2015-02-13,11.499229431152344,11.639775129983414,11.37784833486512,11.588667492362825,9207400
2015-02-18,11.626999855041504,11.7419911329378,11.531171962374518,11.582279603162517,12971300
2015-02-19,11.646162986755371,11.729213654102594,11.537559111495083,11.60144395903092,4536700
2015-02-20,11.607833862304688,11.690883320426954,11.531171792997611,11.684495931611762,5547500
2015-02-23,11.80587387084961,11.805873870849611,11.601443344367686,11.601443344367686,9354500
2015-02-24,11.80587387084961,11.88253592753136,11.729213032669914,11.805873870849611,10065500
2015-02-25,11.658939361572266,11.78032044131167,11.607831730919154,11.78032044131167,9801500
2015-02-26,11.812263488769531,11.812263488769533,11.55033670196924,11.748378639147036,15277800
2015-02-27,11.697272300720215,12.061414399909683,11.68449630418021,11.697272300720215,19534900
2015-03-02,11.620229721069336,11.767889801743317,11.575289802996465,11.755049475287947,9160400
2015-03-03,11.8320951461792,11.88987541481498,11.588133739823364,11.671594672084575,9012500
2015-03-04,11.755050659179688,11.825671237275744,11.55603047716114,11.645910322358992,12821800
2015-03-05,11.787151336669922,11.896291672176904,11.69085010423591,11.774311009075916,23429800
2015-03-06,11.703691482543945,11.838512485342669,11.626651959105656,11.793572559250144,7333600
2015-03-09,11.710110664367676,11.76147075052416,11.568870733567607,11.626650983558783,10550500
2015-03-10,11.363432884216309,11.742214061991605,11.13873199874466,11.671593468823607,13599600
2015-03-11,11.64591121673584,11.678012038572513,11.299230912547772,11.331330509863301,9992700
2015-03-12,11.581708908081055,11.793569377154693,11.453308104300321,11.748628238666864,11867600
2015-03-13,11.64591121673584,11.678012038572513,11.235030493395568,11.292810748180436,16727500
2015-03-16,11.556032180786133,11.78715321624865,11.530351521503082,11.716532627741495,8016300
2015-03-17,11.665173530578613,11.755053396707773,11.575293664449454,11.67159369594803,11610600
2015-03-18,11.8320951461792,12.005435952086541,11.607394237542437,11.645914008459144,14337800
2015-03-19,11.877031326293945,11.941231740529474,11.748630497822887,11.806410748182758,7329200
2015-03-20,11.986169815063477,12.133829887873649,11.921969410726616,11.979749652177704,16893900
2015-03-23,12.095314025878906,12.178773721199384,11.92197324576569,12.011853106037169,8901700
2015-03-24,11.973332405090332,12.12741267830858,11.825672296321322,12.101733245032786,8195300
2015-03-25,11.825672149658203,12.133832692272863,11.79999149217974,12.031112511401309,11088000
2015-03-26,11.607390403747559,11.79999041923884,11.568870645553508,11.767890824830639,16105200
2015-03-27,11.735793113708496,11.7935733725323,11.556032172420972,11.60739226642866,9339600
2015-03-30,11.973332405090332,11.973332405090332,11.729372278625062,11.729372278625062,7648500
2015-03-31,11.864191055297852,11.94765196155961,11.761470881838038,11.812830968567946,8654300
2015-04-01,12.165933609008789,12.198033206586079,11.825672241892192,11.973332349981579,19780900
2015-04-02,12.10173511505127,12.236554915754807,11.99901491703295,12.10173511505127,16451500
2015-04-06,12.352113723754883,12.441993578368482,12.14667335634027,12.191613283647069,10617600
2015-04-07,12.480515480041504,12.583235671274664,12.358534793756652,12.448414654955348,10859100
2015-04-08,12.474095344543457,12.641015961822665,12.390634423643217,12.608915136660546,11241600
2015-04-09,12.409893989562988,12.596075087999358,12.339273404015236,12.441993587800413,9188900
2015-04-10,12.531872749328613,12.576812669792604,12.358532006520944,12.384212660798077,10474500
2015-04-13,12.461251258850098,12.589652071758014,12.461251258850098,12.461251258850098,7812300
2015-04-14,12.275074005126953,12.544714789247015,12.23655301845183,12.531874460355308,9021900
2015-04-15,12.287908554077148,12.429149670482168,12.198028734198106,12.384209760542646,11306200
2015-04-16,12.262235641479492,12.281494913382538,12.153095277450586,12.223715873152042,10102200
2015-04-17,12.242972373962402,12.320013117701142,12.15951269072309,12.19803245033192,9685500
2015-04-20,12.127413749694824,12.313594861607283,12.037533888507442,12.198034340354209,9854000
2015-04-22,12.172351837158203,12.198032493335345,12.024691737702888,12.17877200120249,10326700
2015-04-23,12.108155250549316,12.230134720068573,12.011853993689112,12.14667501858059,11694800
2015-04-24,12.153092384338379,12.262232722385813,12.101732297287887,12.217292799281763,9154900
2015-04-27,12.069631576538086,12.230132002952267,12.011851325067294,12.191612243478765,12587700
2015-04-28,12.133835792541504,12.191616062110105,11.947655876337146,12.191616062110105,10194900
2015-04-29,12.10173511505127,12.140254883177802,12.024694354276855,12.05037501604211,8790600
2015-04-30,12.165933609008789,12.198033206586079,12.037532769657314,12.037532769657314,9396600
2015-05-04,12.416312217712402,12.506192058376808,12.198031555080854,12.217292045732224,9874100
2015-05-05,12.563976287841797,12.666696488163298,12.281495124696981,12.326436283793845,11569000
2015-05-06,12.737313270568848,13.026214512780136,12.544713258775328,12.67953302212659,19716900
2015-05-07,12.525452613830566,12.698793357026718,12.493351795912208,12.660272375524686,6641700
2015-05-08,12.762993812561035,12.788674469448576,12.53187402317875,12.698794619384417,10733600
2015-05-11,12.666692733764648,12.76299273995763,12.61533264882699,12.679533061129316,5292100
2015-05-12,12.480515480041504,12.705216357559516,12.467675150007043,12.634595766891243,12868700
2015-05-13,12.519033432006836,12.531873760181137,12.364953167478514,12.506193103832537,6990900
2015-05-14,12.454832077026367,12.628172820752708,12.403471992720895,12.551132082034002,7393500
2015-05-15,12.628171920776367,12.647432410213652,12.416311435049908,12.416311435049908,9548600
2015-05-18,12.377798080444336,12.685958723645056,12.358537581048711,12.570398176314399,11291500
2015-05-19,12.352113723754883,12.474094401102754,12.294333467354376,12.441993578368482,8007400
2015-05-20,11.864191055297852,12.255812481939047,11.78073137355715,12.19803223130277,11007100
2015-05-21,12.095314025878906,12.127413626112645,11.84493371539621,11.88345348058095,10942700
2015-05-22,12.0375337600708,12.191614045257158,11.934813569946565,12.120993455351273,12629700
2015-05-25,12.133835792541504,12.165936622591538,11.934815544317132,12.031115585424315,2710100
2015-05-26,11.896294593811035,12.133834590032883,11.84493449534242,11.992594625374522,10073800
2015-05-27,11.877031326293945,11.9219712489025,11.729371230716964,11.844931731436708,9311200
2015-05-28,11.864191055297852,11.902712038736075,11.652330544471855,11.748630554025297,8894300
2015-05-29,11.896294593811035,11.909133700037186,11.697273140788978,11.780734066126316,19991200
2015-06-01,11.941231727600098,11.986171650159994,11.86419098569667,11.877031313434083,11308900
2015-06-02,11.973506927490234,12.018691008515828,11.876686359001752,11.992871533644061,12307700
2015-06-03,11.889594078063965,11.986414630116222,11.676588371092954,11.986414630116222,20628200
2015-06-05,12.070327758789062,12.070327758789062,11.837957428146122,11.941232857067378,15198600
2015-06-08,11.915412902832031,12.14132835614689,11.915412902832031,12.044507799337715,17427000
2015-06-09,11.96059513092041,11.979958500607188,11.87668309181109,11.908957426522361,15863100
2015-06-10,12.109057426452637,12.154240279017621,11.947689392354611,12.057419704786884,10555700
2015-06-11,12.050962448120117,12.25751329386077,12.050962448120117,12.141328135346614,12381300
2015-06-12,12.096146583557129,12.14132943199574,12.01223575519118,12.025144261073438,13970800
2015-06-15,11.812137603759766,11.979960478546648,11.812137603759766,11.9605971056629,9410400
2015-06-16,12.089690208435059,12.180057125191086,11.921867341476874,11.97350505199169,13264500
2015-06-17,12.044507026672363,12.096144735733999,11.941231608549092,12.038052159147146,9599400
2015-06-18,12.050962448120117,12.218785318069436,11.915412686140218,12.096145291733366,11190200
2015-06-19,12.180057525634766,12.205875766170934,11.999324917320898,11.999324917320898,13488500
2015-06-22,12.231695175170898,12.367243707356607,12.18651109996883,12.251058547688762,10484300
2015-06-23,12.205875396728516,12.393062867295754,12.205875396728516,12.328515421198771,7479100
2015-06-24,12.199418067932129,12.347876302207593,12.1929632015106,12.276875233850568,6618200
2015-06-25,12.21233081817627,12.251058795134387,12.102600524178115,12.218785686192655,8910400
2015-06-26,12.354333877563477,12.418881324792178,12.173602502691299,12.1929658750618,10507500
2015-06-29,12.23814868927002,12.328515607628363,12.205875581303568,12.328515607628363,6181200
2015-06-30,12.257516860961914,12.373702053287513,12.225243743600586,12.263971730662282,19852600
2015-07-01,12.347879409790039,12.438246331294115,12.296241696562081,12.296241696562081,11488900
2015-07-02,12.289789199829102,12.483430334613761,12.276879462539375,12.412428010660575,9698500
2015-07-03,12.36078929901123,12.39306363964115,12.212331025534226,12.270423607527873,3145100
2015-07-06,12.40597152709961,12.444700733927311,12.231695020935543,12.244603525404628,7129500
2015-07-07,12.464064598083496,12.489884070320906,12.283333216982422,12.309151458079633,9841600
2015-07-08,12.328516006469727,12.48342914577259,12.322061138439583,12.418881696611347,8821900
2015-07-10,12.541522979736328,12.657708153604815,12.393064693633402,12.457610918102281,16642900
2015-07-13,12.612524032592773,12.74807256768159,12.606069164568517,12.631887405525353,10619500
2015-07-14,12.683526039123535,12.715800381587224,12.547977494196884,12.593160342505767,9391200
2015-07-15,12.748074531555176,12.748074531555176,12.60607110656611,12.60607110656611,9788200
2015-07-16,12.735161781311035,12.838437198901204,12.62543149622897,12.780344622614223,10172500
2015-07-17,12.715799331665039,12.838438129480135,12.664161619127057,12.70934446370527,11119200
2015-07-20,12.741616249084473,12.793253956259624,12.651250569312968,12.72225164721627,9206000
2015-07-21,12.664161682128906,12.812619952521635,12.56733989339086,12.767437107718646,7856200
2015-07-22,12.606066703796387,12.76743467948233,12.483426697555881,12.573792369975227,7946000
2015-07-23,12.38660717010498,12.573793396997191,12.36078770093913,12.476972849905353,13250100
2015-07-24,12.23814868927002,12.444700766131838,12.205875581303568,12.412426427025233,12659100
2015-07-27,12.057417869567871,12.289788197265649,12.031598397094692,12.218785879104615,11884500
2015-07-28,12.128419876098633,12.19942096129514,11.87023008256166,12.134873512910897,13952400
2015-07-29,12.012234687805176,12.231695273126359,11.986415216054366,12.03805292841581,13833800
2015-07-30,12.19296932220459,12.251061918020088,12.063875622390537,12.115513348544258,10116700
2015-07-31,12.567338943481445,12.573793810985432,12.238148087618653,12.276877292642576,13350700
2015-08-03,12.651252746582031,12.677070989042878,12.470520124795051,12.489884729995884,8680800
2015-08-04,12.735161781311035,12.741616648802932,12.560884052450092,12.560884052450092,9232200
